PreloadingT,PostloadingT,J4,J17,J18,J35,J35A
1.75,2.50,0,0,0,0,0
7.33,6.75,0,0,0,0,0
3.08,9.25,0,0,0,0,0
2.17,3.68,2,2,2,2,2
2.00,7.58,0,0,0,0,0
1.67,4.00,0,0,0,0,0
5.83,2.75,0,0,0,0,0
5.08,4.40,0,0,0,0,0
2.07,9.58,0,0,0,0,0
3.67,2.08,0,0,0,0,0
0.91,9.00,0,0,0,0,0
5.82,4.12,0,0,0,0,0
4.33,7.73,0,0,0,0,0
0.75,4.00,0,0,0,0,0
4.80,6.67,0,0,0,0,0
4.52,3.75,0,0,0,0,0
2.60,9.75,0,0,0,0,0
1.50,3.00,0,0,0,0,0
4.50,2.72,0,0,0,0,0
3.42,6.67,0,0,0,0,0
1.28,4.25,14,14,14,14,14
2.12,3.75,0,0,0,0,0
2.14,6.10,0,0,0,0,0
4.17,3.58,0,0,0,0,0
4.71,7.95,0,0,0,0,0
1.28,2.65,0,0,0,0,0
2.90,5.17,0,0,0,0,0
2.50,3.30,0,0,0,0,0
3.63,2.42,0,0,0,0,0
3.13,3.63,0,0,0,0,0
6.67,3.83,0,0,0,0,0
3.63,3.43,0,0,0,0,0
3.13,4.08,0,0,0,0,0
6.67,2.25,0,0,0,0,0
3.63,4.55,0,0,0,0,0
3.13,4.42,0,0,0,0,0
6.67,6.92,0,0,0,0,0
2.67,6.00,0,0,0,0,0
3.12,5.50,0,0,0,0,0
2.08,5.75,0,0,0,0,0
6.98,3.27,0,0,0,0,0
6.98,7.00,0,0,0,0,0
1.50,9.25,0,0,0,0,0
1.45,4.72,0,0,0,0,0
0.00,4.70,0,0,0,0,0
1.13,3.08,0,0,0,0,0
8.75,4.50,0,0,0,0,0
2.42,2.83,0,0,0,0,0
0.22,3.00,0,0,0,0,0
4.30,3.92,0,0,0,0,0
1.42,7.90,0,0,0,0,0
4.37,4.35,0,0,0,0,0
7.17,4.25,0,0,0,0,0
2.67,7.80,0,0,0,0,0
2.17,6.75,0,0,0,0,0
5.75,6.92,0,0,0,0,0
2.17,4.17,4,4,4,4,4
5.75,3.33,0,0,0,0,0
2.62,8.50,0,0,0,0,0
3.45,4.25,0,0,0,0,0
1.58,1.50,0,0,0,0,0
1.90,7.33,0,0,0,0,0
8.97,4.67,0,0,0,0,0
2.82,2.38,0,0,0,0,0
2.13,4.17,0,0,0,0,0
3.08,5.20,0,0,0,0,0
5.27,4.43,0,0,0,0,0
3.57,2.67,0,0,0,0,0
4.33,3.12,0,0,0,0,0
2.10,6.58,0,0,0,0,0
2.08,4.40,0,0,0,0,0
1.00,9.87,0,0,0,0,0
0.92,3.55,0,0,0,0,0
6.70,1.33,0,0,0,0,0
7.97,4.17,0,0,0,0,0
1.00,4.20,0,0,0,0,0
2.33,2.92,0,0,0,0,0
2.25,3.40,0,0,0,0,0
5.58,5.80,0,0,0,0,0
5.67,3.60,0,0,0,0,0
3.67,6.17,0,0,0,0,0
7.28,4.17,0,0,0,0,0
3.25,3.42,0,0,0,0,0
2.63,3.50,0,0,0,0,0
7.51,4.92,0,0,0,0,0
3.93,2.75,0,0,0,0,0
3.42,3.27,25,25,25,25,25
3.92,4.25,0,0,0,0,0
3.92,3.92,0,0,0,0,0
6.47,2.75,0,0,0,0,0
2.33,7.33,0,0,0,0,0
5.00,4.15,0,0,0,0,0
1.92,3.90,0,0,0,0,0
5.58,2.80,0,0,0,0,0
2.00,6.32,0,0,0,0,0
6.58,8.25,52,52,52,52,52
1.92,4.48,24,24,24,24,24
5.58,9.00,0,0,0,0,0
2.00,1.00,21,21,21,21,21
6.58,7.25,0,0,0,0,0
1.92,3.50,0,0,0,0,0
5.58,4.50,0,0,0,0,0
2.00,2.58,0,0,0,0,0
6.58,9.00,51,51,51,51,51
1.92,7.92,0,0,0,0,0
5.58,3.75,0,0,0,0,0
2.00,,0,0,0,0,0
6.58,,0,0,0,0,0
1.92,,27,27,27,27,27
5.58,,0,0,0,0,0
2.00,,0,0,0,0,0
6.58,,0,0,0,0,0
1.92,,0,0,0,0,0
5.58,,0,0,0,0,0
2.00,,104,104,104,104,104
6.58,,0,0,0,0,0
1.92,,0,0,0,0,0
5.58,,0,0,0,0,0
2.00,,0,0,0,0,0
6.58,,0,0,0,0,0
4.77,,0,0,0,0,0
4.65,,0,0,0,0,0
2.93,,0,0,0,0,0
2.93,,0,0,0,0,0
4.33,,0,0,0,0,0
4.33,,0,0,0,0,0
2.33,,0,0,0,0,0
4.42,,0,0,0,0,0
3.92,,0,0,0,0,0
1.33,,0,0,0,0,0
3.17,,0,0,0,0,0
8.33,,0,0,0,0,0
6.43,,0,0,0,0,0
1.18,,0,0,0,0,0
5.37,,0,0,0,0,0
0.62,,0,0,0,0,0
6.92,,0,0,0,0,0
3.55,,0,0,0,0,0
3.25,,0,0,0,0,0
2.10,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,10,10,10,10,10
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,17,17,17,17,17
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,17,17,17,17,17
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,7,7,7,7,7
,,7,7,7,7,7
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
